text,dialogue_act
"Hi, I'm your support agent. How can I help?",Greeting
I've been on hold for over an hour trying to reach someone.,Complaint
"Alright, I'll try that solution.",Acknowledgment
You can track your package using tracking number XYZ123.,Answer
Can you please expedite the shipping on my order?,Request
Your account has been successfully verified.,Answer
I never authorized this subscription renewal!,Complaint
"Noted, thank you for your assistance.",Acknowledgment
Which payment method did you use?,Question
Have you updated to the latest version?,Question
Good morning. Welcome to our support center.,Greeting
Have you tried restarting the application?,Question
Hey I'm happy to help you with your issue.,Greeting
Thanks for the quick response!,Acknowledgment
I appreciate your time. Goodbye.,Closing
"That's everything I needed, thank you!",Closing
I need assistance setting up my new account.,Request
Please refund my payment as soon as possible.,Request
Your support ticket has been assigned ID #45621.,Answer
I've been waiting for my order for 3 weeks now!,Complaint
"Perfect, have a wonderful day!",Closing
Can you describe the problem in more detail?,Question
"That makes sense, thank you.",Acknowledgment
Your support ticket has been assigned ID #45621.,Answer
The quality of the product is very poor and not as described.,Complaint
"Hi, I'm your support agent. How can I help",Greeting
Thanks again for your help,Closing
"Hello, welcome! What can I do for you today?",Greeting
"Perfect, have a wonderful day!",Closing
"Alright, I'll follow those steps.",Acknowledgment
"Okay, I'll check my email for the confirmation.",Acknowledgment
"Okay, I understand now.",Acknowledgment
The issue was caused by a temporary server outage.,Answer
"Alright, I'll follow those steps.",Acknowledgment
Hello! Thanks for getting in touch with us.,Greeting
Which product are you having trouble with?,Question
Your account has been successfully verified.,Answer
Thanks for the quick response!,Acknowledgment
I still haven't received my refund after 2 months.,Complaint
"Great, thank you for looking into this.",Acknowledgment
We currently support payments via credit card and PayPal.,Answer
The delivery estimate is 3-5 business days.,Answer
Have you updated to the latest version?,Question
Your account has been successfully verified.,Answer
I'd like to speak with a supervisor about this matter.,Request
"Understood, I'll wait for the update.",Acknowledgment
Can you share a screenshot of the error?,Question
Good afternoon! How may I assist you?,Greeting
You have 2 remaining credits in your account.,Answer
The password reset link has been sent to your email.,Answer
"Perfect, have a nice day!",Closing
Could you  check the status of my refund?,Request
Could you please check the status of my refund?,Request
Hi! Thank you for contacting our support team.,Greeting
The customer service has been extremely unhelpful so far.,Complaint
Good afternoon. How may I assist you,Greeting
This is the third time I'm contacting support about this issue.,Complaint
Your subscription will renew on January 15th.,Answer
I've been on hold for over an hour trying to reach someone.,Complaint
"Thanks, that's exactly what I needed to know.",Acknowledgment
The quality of the product is very poor and not as described.,Complaint
"Okay, I understand now.",Acknowledgment
"Got it, thanks for clarifying.",Acknowledgment
Please refund my payment as soon as possible.,Request
I need to update my billing address.,Request
"Hi, I'm your support agent. How can I help?",Greeting
Is this issue happening on mobile or desktop?,Question
We currently support payments via credit card and PayPal.,Answer
"Noted, thank you for your assistance.",Acknowledgment
"Thanks, I really appreciate it",Closing
Hi there! Thanks for reaching out to us.,Greeting
Good afternoon! How may I assist you?,Greeting
The quality of the product is very poor and not as described.,Complaint
"Alright, I'll try that solution.",Acknowledgment
Hey! I'm happy to help you with your issue.,Greeting
The quality of the product is very poor and not as described.,Complaint
Hey! I'm happy to help you with your issue.,Greeting
"Thanks, that's exactly what I needed to know.",Acknowledgment
The quality of the product is very poor and not as described.,Complaint
This is the third time I'm contacting support about this issue.,Complaint
Could you please send me an invoice for my purchase?,Request
Thanks again for your help,Closing
I would like to cancel my subscription please.,Request
Can you describe the problem in more detail?,Question
I would like to return this product for a full refund.,Request
"Hi, I'm your support agent. How can I help",Greeting
I'm extremely frustrated with how long this is taking.,Complaint
Your system deleted all my saved data without warning.,Complaint
You have 2 remaining credits in your account.,Answer
Which payment method did you use?,Question
Your order total is $156.50 including taxes.,Answer
What error message are you seeing,Question
"Thanks, I'm all set now!",Closing
I'm very disappointed with the service I've received.,Complaint
I appreciate your assistance. Take care.,Closing
I need to update my billing address.,Request
Thanks for your help. Have a great day.,Closing
I would like to return this product for a full refund.,Request
The quality of the product is very poor and not as described.,Complaint
This app is full of bugs and constantly freezes.,Complaint
"Hi, I'm your support agent. How can I help?",Greeting
Thank you for the information.,Acknowledgment
"Thanks, I'm all set now",Closing
Your website keeps crashing whenever I try to make a payment.,Complaint
I was charged twice for the same transaction!,Complaint
I'd like to speak with a supervisor about this matter.,Request
Hi! Thank you for contacting our support team.,Greeting
The refund will be processed within 5-7 business days.,Answer
Please refund my payment as soon as possible.,Request
The delivery was late and the package was damaged.,Complaint
Can you kindly expedite the shipping on my order?,Request
Could you tell me when you placed the order,Question
"Great, thanks! That's all I needed.",Closing
Good afternoon! How may I assist you?,Greeting
Your order total is $156.50 including taxes.,Answer
Thanks for resolving this so quickly,Closing
Have you tried restarting the application,Question
Thanks for the quick response!,Acknowledgment
"Okay, I'll keep that in mind.",Acknowledgment
"That's everything I needed, thank you",Closing
"Thank you, I'm all set now!",Closing
Thanks for resolving this so quickly!,Closing
"Hello, welcome What can I do for you today",Greeting
What error message are you seeing,Question
"That makes sense, thank you.",Acknowledgment
Your subscription will renew on January 15th.,Answer
"Thanks, that's exactly what I needed to know.",Acknowledgment
I appreciate your time. Goodbye.,Closing
Hi there! Thanks for reaching out to us.,Greeting
The delivery was late and the package was damaged.,Complaint
Hi there! Thanks for reaching out to us.,Greeting
The feature you requested is available in our Pro plan.,Answer
"I see, thank you for explaining that.",Acknowledgment
Which product are you having trouble with?,Question
The quality of the product is very poor and not as described.,Complaint
"Thank you, you've been very helpful!",Closing
The customer service has been extremely unhelpful so far.,Complaint
Which product are you having trouble with?,Question
Thanks again for your help!,Closing
I still haven't received my refund after 2 months.,Complaint
I need assistance setting up my new account.,Request
I appreciate your assistance. Take care.,Closing
Good afternoon! How may I assist you?,Greeting
Which payment method did you use?,Question
"Thanks, that's exactly what I needed to know.",Acknowledgment
I appreciate your assistance. Take care!,Closing
Hello! Thanks for getting in touch with us.,Greeting
Your system deleted all my saved data without warning.,Complaint
What happens when you click the submit button,Question
"Alright, I'll try that solution.",Acknowledgment
I'd like to speak with a supervisor about this matter.,Request
Good morning! Welcome to our support center.,Greeting
"Perfect, I appreciate your help.",Acknowledgment
The software is compatible with Windows 10 and above.,Answer
The password reset link has been sent to your email.,Answer
The product I received is completely different from what I ordered.,Complaint
"Perfect, have a wonderful day!",Closing
"Great, thank you for looking into this.",Acknowledgment
Thanks again for your help,Closing
I want to upgrade to the premium plan.,Request
I want to upgrade to the premium plan.,Request
You have 2 remaining credits in your account.,Answer
Greetings. I'm here to assist you.,Greeting
The quality of the product is very poor and not as described.,Complaint
Thank you so much for your help!,Closing
Can you describe the problem in more detail?,Question
Which product are you having trouble with?,Question
Hey! I'm happy to help you with your issue.,Greeting
I never authorized this subscription renewal!,Complaint
Thank you for the information.,Acknowledgment
Hey! I'm happy to help you with your issue.,Greeting
Hey. How can I help you today?,Greeting
Please add an extra item to my existing order.,Request
"That makes sense, thank you.",Acknowledgment
I'd like to speak with a supervisor about this matter.,Request
Hi! Thank you for contacting our support team.,Greeting
Good afternoon How may I assist you?,Greeting
"Thanks, that solved my issue. Goodbye!",Closing
"Great service, thank you!",Closing
"Understood, I'll wait for the update.",Acknowledgment
You have 2 remaining credits in your account.,Answer
Which payment method did you use?,Question
Greetings! I'm here to assist you.,Greeting
Can you describe the problem in more detail?,Question
Can you share a screenshot of the error?,Question
I need to update my billing address.,Request
"Hi, I'm your support agent. How can I help?",Greeting
Good afternoon! How may I assist you?,Greeting
Your order total is $156.50 including taxes.,Answer
Have you tried restarting the application,Question
Hello! How can I help you today?,Greeting
Greetings! I'm here to assist you.,Greeting
Greetings. I'm here to assist you.,Greeting
The delivery estimate is 3-5 business days.,Answer
I'm extremely frustrated with how long this is taking.,Complaint
Greetings. I'm here to assist you.,Greeting
"Got it, thanks for clarifying.",Acknowledgment
I'm very disappointed with the service I've received.,Complaint
"Thanks, that solved my issue. Goodbye!",Closing
I still haven't received my refund after 2 months.,Complaint
I was charged twice for the same transaction!,Complaint
Can you provide your account email address?,Question
I'd like to speak with a supervisor about this matter.,Request
We currently support payments via credit card and PayPal.,Answer
Your account has been successfully verified.,Answer
Can you kindly expedite the shipping on my order?,Request
What happens when you click the submit button?,Question
"Okay, I understand now.",Acknowledgment
"Hello, welcome! What can I do for you today?",Greeting
I need help resetting my password.,Request
Thank you for your help! Have a great day.,Closing
"Okay, I'll check my email for the confirmation.",Acknowledgment
"Thanks, I really appreciate it!",Closing
This is the third time I'm contacting support about this issue.,Complaint
What error message are you seeing,Question
Hi there! Thanks for reaching out to us.,Greeting
What browser are you currently using?,Question
Hi! Thank you for contacting our support team.,Greeting
When did you first notice this issue?,Question
"Thanks, that's exactly what I needed to know.",Acknowledgment
